Company_name,Scope 1 Emissions,Scope 2 Emissions,Total emissions
360 ONE WAM LIMITED,0.21,381.07,381.28
3i Infotech Limited,768.05,1319.51,2087.56
3M INDIA LIMITED,4550,10774,15324
5paisa Capital Limited,6.53,348,354.53
63 moons technologies limited,Not disclosed,Not disclosed,0
Aarti Drugs Limited,64666,78417,143083
Aarti Industries Limited,620823,171010,791833
Aarti Pharmalabs Limited,73461.1,105577.65,179038.75
Aavas Financiers Limited,33.02,2746.2,2779.22
ABANS FINANCIAL SERVICES LIMITED,0,101.24,101.24
ABB India Limited,2189.1,0,2189.1
ACC Limited,13488976,625212,14114188
Accelya Solutions India Limited,0.08,0,0.08
Action Construction Equipment Limited,Not disclosed,Not disclosed,0
Acutaas Chemicals Limited,43183,16552,59735
Adani Energy Solutions Limited,1340619,420669,1761288
Adani Enterprises Limited,1255719,419927,1675646
Adani Ports and Special Economic Zone Limited,150398.25,323098.43,473496.68
ADANI POWER LIMITED,86427664.95,1366.59,86429031.54
Adani Total Gas Limited,"80,662","45,200","125,862"
ADF FOODS LIMITED,4137.99,5545.23,9683.22
Aditya Birla Capital Limited,39.6,5541.77,5581.37
Aditya Birla Fashion and Retail Limited,3024,106953,109977
Aditya Birla Real Estate Limited,925173.06,19899.39,945072.45
Aditya Birla Sun Life AMC Limited,0.25,0,0.25
ADITYA VISION LIMITED,Not disclosed,Not disclosed,0
Ador Welding Limited,1616.59,11513.73,13130.32
Advanced Enzyme Technologies Limited,20232,7210,27442
Aegis Logistics Limited,Not disclosed,Not disclosed,0
Aether Industries Limited,7718.84,16496.52,24215.36
Afcons Infrastructure Limited,244138.8,37760.3,281899.1
Affle 3i Limited,Not disclosed,Not disclosed,0
Agarwal Industrial Corporation Limited,2,Not disclosed,2
AGI Greenpac Limited,298651.43,160620.25,459271.68
Ahluwalia Contracts (India) Limited,Not disclosed,Not disclosed,0
AIA ENGINEERING LIMITED,28902.21,147511.55,176413.76
Ajanta Pharma Limited,6392,43598.47,49990.47
AJMERA REALTY & INFRA INDIA LIMITED,3235,18912.79,22147.79
Akums Drugs and Pharmaceuticals Limited,41385.11,114101.23,155486.34
Akzo Nobel India Limited,304,8133,8437
Alembic Limited,379,1290,1669
ALEMBIC PHARMACEUTICALS LIMITED,80278.03,77965.98,158244.01
Alicon Castalloy Limited,14258.71,28662.36,42921.07
Alivus Life Sciences Limited,7232.78,88035.94,95268.72
Alkem Laboratories Limited,33018,76079,109097
ALKYL AMINES CHEMICALS LIMITED,360680,24352,385032
Allcargo Gati Limited,484.37,4611.82,5096.19
Allcargo Logistics Limited,0,1016.17,1016.17
Alldigi Tech Limited,615,3097,3712
ALOK INDUSTRIES LIMITED,969200,0,969200
Amara Raja Energy & Mobility Limited,6816,230765,237581
Amber Enterprises India Limited,8150.35,57550.75,65701.1
AMBIKA COTTON MILLS LIMITED,Not disclosed,Not disclosed,0
Ambuja Cements Limited,14756978,485448,15242426
Amines & Plasticizers Limited,14226,2276,16502
AMRUTANJAN HEALTH CARE LIMITED,38349600,110884600,149234200
Anand Rathi Wealth Limited,12.21,789.87,802.08
Anant Raj Limited,5.61,23383.67,23389.28
Andhra Paper Limited,901757.28,21850,923607.28
Angel One Limited,25.12,390.02,415.14
Anjani Portland Cement Limited,532215,9699.01,541914.01
Antony Waste Handling Cell Limited,26046,2723,28769
Anupam Rasayan India Limited,84581,32046,116627
APAR Industries Limited,39329,122479,161808
Apcotex Industries Limited,31001,24238,55239
Apeejay Surrendra Park Hotels Limited,1966.68,15346.54,17313.22
APEX FROZEN FOODS LIMITED,Not disclosed,Not disclosed,0
APL Apollo Tubes Limited,31243,124341,155584
Apollo Hospitals Enterprise Limited,13065,112024.3,125089.3
APOLLO MICRO SYSTEMS LIMITED,Not disclosed,Not disclosed,0
Apollo Pipes Limited,769,17367,18136
Apollo Tyres Limited,257515.55,241414.3,498929.85
Aptech Limited,485.05,10.81,495.86
Aptus Value Housing Finance India Limited,Not disclosed,Not disclosed,0
Archean Chemical Industries Limited,75631.92,19850.05,95481.97
Arihant Capital Markets Limited,0.15,555.43,555.58
Arman Financial Services Limited,Not disclosed,Not disclosed,0
Artemis Medicare Services Limited,3977.93,11572.8,15550.73
Arvind Fashions Limited,47.8,890.7,938.5
ARVIND LIMITED,253283,190808,444091
Arvind SmartSpaces Limited,357,2138,2495
Asahi India Glass Limited,260368,146799,407167
Ashapura Minechem Limited,38961.39,40604.88,79566.27
ASHIANA HOUSING LIMITED,2,.,2
Ashok Leyland Limited,30986.68,69608.31,100594.99
Ashoka Buildcon Limited,71192,11722,82914
Asian Paints Limited,87435,52727,140162
ASK Automotive Limited,13679.52,55270.17,68949.69
ASTEC LIFESCIENCES LIMITED,13444,13429,26873
Aster DM Healthcare Limited,3058,46335,49393
Astra Microwave Products Limited,127.63,6471.96,6599.59
Astral Limited,4059.31,88414.34,92473.65
AstraZeneca Pharma India Limited,312.04,1233.65,1545.69
Atul Limited,656894,144301,801195
AU Small Finance Bank Limited,316.89,28075.87,28392.76
Aurionpro Solutions Limited,96.35,920.12,1016.47
AUROBINDO PHARMA LIMITED,750616,474772,1225388
Authum Investment & Infrastructure Limited,Not disclosed,Not disclosed,0
AUTOLINE INDUSTRIES LIMITED,2014,13368,15382
Automotive Axles Limited,4841.99,2025.91,6867.9
Automotive Stampings and Assemblies Limited,412,7608,8020
Avadh Sugar & Energy Limited,39654,543,40197
Avalon Technologies Limited,22.73,2636.69,2659.42
AVANTEL LIMITED,Not disclosed,Not disclosed,0
Avanti Feeds Limited,39811,37492,77303
Avenue Supermarts Limited,15506,204890,220396
AVT NATURAL PRODUCTS LIMITED,57849,14371,72220
AWL AGRI BUSINESS LIMITED,523942,271353,795295
Axis Bank Limited,11347.36,128997.62,140344.98
AXISCADES Technologies Limited,98.02,1726.46,1824.48
Axita Cotton Limited,Not disclosed,Not disclosed,0
Azad Engineering Limited,Not disclosed,Not disclosed,0
Baazar Style Retail Limited,2124,18497,20621
Bajaj Auto Limited,23385,70779,94164
Bajaj Consumer Care Limited,36.7,790,826.7
BAJAJ ELECTRICALS LIMITED,1498.16,5106.96,6605.12
Bajaj Finance Limited,6169.13,35483.1,41652.23
Bajaj Finserv Limited,8966,49491,58457
BAJAJ HEALTHCARE LIMITED,35515,12125,47640
Bajaj Hindusthan Sugar Limited,31363.08,16790.25,48153.33
Bajaj Holdings & Investment Limited,2055.64,7.74,2063.38
Bajaj Housing Finance Limited,205.83,2160.11,2365.94
Bajel Projects Limited,2600,3861,6461
Balaji Amines Limited,204176,23618,227794
Balaxi Pharmaceuticals Limited,0,25.3,25.3
Balkrishna Industries Limited,675773,83684,759457
Balmer Lawrie & Company Limited,8609.37,11798.86,20408.23
Balrampur Chini Mills Limited,3492,2088,5580
BALU FORGE INDUSTRIES LIMITED,1027,17234,18261
BANARAS BEADS LIMITED,Not disclosed,Not disclosed,0
BANCO PRODUCTS (I) LIMITED,Not disclosed,Not disclosed,0
Bandhan Bank Limited,0.47,1284.25,1284.72
Bank of Baroda,1806.97,170244.33,172051.3
BANK OF INDIA,9106.24,88417.59,97523.83
BANK OF MAHARASHTRA,804,31925,32729
BANNARI AMMAN SUGARS LIMITED,111742.61,8953.24,120695.85
Bansal Wire Industries Limited,31334,70053,101387
Barbeque Nation Hospitality Limited,6950,31971,38921
BASF India Limited,17750.55,14997.4,32747.95
BATA INDIA LIMITED,342.21,4452.89,4795.1
BCL INDUSTRIES LIMITED,0,0,0
BEML Limited,2829.31,8429.72,11259.03
BERGER PAINTS (I) LIMITED,8912,34120,43032
BEST AGROLIFE LIMITED,Not disclosed,Not disclosed,0
BF INVESTMENT LIMITED,Not disclosed,Not disclosed,0
BF UTILITIES LIMITED,Not disclosed,Not disclosed,0
Bhagiradha Chemicals & Industries Limited,Not disclosed,Not disclosed,0
Bhansali Engineering Polymers Limited,Not disclosed,Not disclosed,0
Bharat Bijlee Limited,1080.17,9500.81,10580.98
Bharat Dynamics Limited,3491,15317,18808
BHARAT ELECTRONICS LIMITED,9204.38,17926,27130.38
Bharat Forge Limited,78486,181232,259718
BHARAT HEAVY ELECTRICALS LIMITED,135975.14,161227.44,297202.58
Bharat Petroleum Corporation Limited,9935959.52,857339.13,10793298.65
Bharat Rasayan Limited,62826,40718,103544
Bharat Wire Ropes Limited,Not disclosed,Not disclosed,0
Bharti Airtel Limited,23218,490367,513585
Bharti Hexacom Limited,21448,129017,150465
BIGBLOC CONSTRUCTION LIMITED,12612.58,0,12612.58
Bikaji Foods International Limited,28050.26,14029.44,42079.7
Biocon Limited,23898,23656,47554
Birla Corporation Limited,10383044.11,479527.6,10862571.71
BirlaNu Limited,17946.34,50891.25,68837.59
Birlasoft Limited,472,3721,4193
Black Box Limited,5837,1953,7790
BLISS GVS PHARMA LIMITED,699,8581.6,9280.6
BLS E-Services Limited,0,19.19,19.19
BLS International Services Limited,19.84,322.8,342.64
Blue Dart Express Limited,170806,15906,186712
Blue Jet Healthcare Limited,23877,13449.73,37326.73
Blue Star Limited,2720.37,16463.5,19183.87
BODAL CHEMICALS LIMITED,337,167485,167822
Bombay Burmah Trading Corporation Limited,18433.29,4499.64,22932.93
Bombay Dyeing & Mfg Company Limited,91630.3,36466.61,128096.91
Borosil Limited,13389.2,46691.39,60080.59
Borosil Renewables Limited,116453.08,74618.38,191071.46
Bosch limited,8455.06,0,8455.06
Brainbees Solutions Limited,104.36,7409.78,7514.14
Brigade Enterprises Limited,6400.85,30756.8,37157.65
Britannia Industries Limited,105325,82969,188294
BSE Limited,77.49,19097.37,19174.86
Butterfly Gandhimathi Appliances Limited,289,4466,4755
C.E. INFO SYSTEMS LIMITED,Not disclosed,Not disclosed,0
Camlin Fine Sciences Limited,88420,37000,125420
Campus Activewear Limited,591.6,14111.51,14703.11
Can Fin Homes Limited,286.03,1882.84,2168.87
Canara Bank,17262.96,157897.79,175160.75
Cantabil Retail India Limited,Not disclosed,Not disclosed,0
CAPACITE INFRAPROJECTS LIMITED,1300.01,7507.49,8807.5
Capital India Finance Limited,Not disclosed,Not disclosed,0
Caplin Point Laboratories Limited,7502.51,13768.28,21270.79
Capri Global Capital Limited,83.58,5153.33,5236.91
Carborundum Universal Limited,54519,133529,188048
CARE Ratings Limited,11.53,475.26,486.79
CARTRADE TECH LIMITED,60.63,569.42,630.05
Carysil Limited,2170.65,5043.85,7214.5
Castrol India Limited,724,1047,1771
CCL Products (India) Limited,37339.07,34533.83,71872.9
CEAT Limited,100208,170128,270336
CEIGALL INDIA LIMITED,Not disclosed,Not disclosed,0
Cello World Limited,48.03,312.42,360.45
Central Bank of India,Not disclosed,Not disclosed,0
Central Depository Services (India) Limited,4.64,955.3,959.94
Centrum Capital Limited,.,Not disclosed,0
Centum Electronics Limited,1936,745,2681
Century Enka Limited,20342.84,114582.51,134925.35
Century Plyboards (India) Limited,50393,76345,126738
CERA Sanitaryware Limited,19832,5943,25775
CESC Limited,5515193.14,24567.6,5539760.74
CG Power and Industrial Solutions Limited,2181,31365,33546
Chalet Hotels Limited,5051.56,15228.93,20280.49
CHAMAN LAL SETIA EXPORTS LIMITED,0,0,0
Chambal Fertilizers & Chemicals Limited,1503917,7584,1511501
CHEMCON SPECIALITY CHEMICALS LIMITED,0,0,0
Chemplast Sanmar Limited,559948.66,80885.3,640833.96
CHENNAI PETROLEUM CORPORATION LIMITED,2414265.98,15007,2429272.98
Choice International Limited,Not disclosed,Not disclosed,0
Cholamandalam Financial Holdings Limited,621,13369,13990
Cholamandalam Investment and Finance Company Limited,356,16924,17280
CIE AUTOMOTIVE INDIA LIMITED,11006.7,80371.71,91378.41
CIGNITI TECHNOLOGIES LIMITED,36.5,1919.34,1955.84
Cipla Limited,778218,129087,907305
CITY UNION BANK LIMITED,330.06,31663.71,31993.77
Clean Science and Technology Limited,126116.54,8081.33,134197.87
CMS Info Systems Limited,28696.93,14497.95,43194.88
COAL INDIA LIMITED,26676819.21,8319234.08,34996053.29
Cochin Shipyard Limited,2687.63,28736.33,31423.96
Coforge Limited,1265,6344,7609
Cohance Lifesciences Limited,31818,25410,57228
Colgate Palmolive (India) Limited,2651.93,23048.46,25700.39
Computer Age Management Services Limited,908.5,6089.28,6997.78
Concord Biotech Limited,12.51,0.02,12.53
CONFIDENCE PETROLEUM INDIA LIMITED,Not disclosed,Not disclosed,0
Container Corporation of India Limited,28950.94,17105.63,46056.57
Control Print Limited,342.54,1045.45,1387.99
COROMANDEL INTERNATIONAL LIMITED,82938,164674,247612
COSMO FIRST LIMITED,24936,97897,122833
Craftsman Automation Limited,24522.74,97249.63,121772.37
CreditAccess Grameen Limited,83.12,4725.33,4808.45
Crisil Limited,750.58,1533.64,2284.22
Crompton Greaves Consumer Electricals Limited,767.69,6595.17,7362.86
CSB BANK LIMITED,191.99,8245.19,8437.18
Cummins India Limited,7541,18548,26089
CUPID LIMITED,1483.45,7483,8966.45
Cyient DLM Limited,118,2972,3090
Cyient Limited,1117,10630,11747
Cyient Limited,1211,8170,9381
D. P. Abhushan Limited,Not disclosed,Not disclosed,0
D.B.Corp Limited,265,18400,18665
Dabur India Limited,10970,51705,62675
Dalmia Bharat Limited,15.33,0.41,15.74
Dalmia Bharat Sugar and Industries Limited,120492,1053,121545
Data Patterns (India) Limited,207.69,2227.17,2434.86
Datamatics Global Services Limited,77.37,4215.05,4292.42
DCB Bank Limited,140.71,12782.44,12923.15
DCM NOUVELLE LIMITED,Not disclosed,Not disclosed,0
DCM SHRIRAM INDUSTRIES LIMITED,595010,22528.35,617538.35
DCM Shriram Limited,3250234,189123,3439357
DCW Limited,703584,46597,750181
DCX Systems Limited,45.08,352.83,397.91
DDEV PLASTIKS INDUSTRIES LIMITED,107.39,43759.85,43867.24
DEE Development Engineers Limited,2391,8189,10580
DEEP INDUSTRIES LIMITED,9237,0,9237
DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,2735656.29,2249237.78,4984894.07
Deepak Nitrite Limited,121129.44,101908.03,223037.47
Delhivery Limited,186222.92,61144.3,247367.22
Delta Corp Limited,5724.04,5322.29,11046.33
DEN NETWORKS LIMITED,36.42,3635.59,3672.01
Devyani International Limited,28363.09,81463.94,109827.03
Dhampur Bio Organics Limited,1250,1607,2857
DHAMPUR SUGAR MILLS LIMITED,32303.68,43.68,32347.36
Dhani Services Limited,932.87,1083.28,2016.15
Dhanuka Agritech Limited,2291.52,3119.34,5410.86
Dhunseri Ventures Limited,0,34.93,34.93
Diamond Power Infrastructure Limited,7316.37,19901.76,27218.13
Dilip Buildcon Limited,357524,80154,437678
Dish TV India Limited,Not disclosed,Not disclosed,0
Dishman Carbogen Amcis Limited,87666.92,20832.78,108499.7
Divgi TorqTransfer Systems Limited,0,0,0
DIVI'S LABORATORIES LIMITED,339941,357810,697751
Dixon Technologies (India) Limited,2170.4,28170.13,30340.53
DLF Limited,22343.18,152168.43,174511.61
DMCC Speciality Chemicals Limited,486.42,0.09,486.51
DODLA DAIRY LIMITED,57010.15,29800.56,86810.71
Dolat Algotech Limited,Not disclosed,Not disclosed,0
Dollar Industries Limited,18119,10380,28499
DOMS Industries Limited,402.11,41116.54,41518.65
DPSC Limited,61738.77,6571.57,68310.34
Dr. Lal Path Labs Ltd.,1192,15793,16985
Dr. Reddy's Laboratories Limited,142772,94690,237462
Dreamfolks Services Limited,16.07,25.47,41.54
Dredging Corporation of India Limited,106.79,59,165.79
Dwarikesh Sugar Industries Limited,768,58,826
Dynamatic Technologies Limited,74.83,5046.49,5121.32
Easy Trip Planners Limited,0,329.35,329.35
eClerx Services Limited,549,3970,4519
Edelweiss Financial Services Limited,Not disclosed,Not disclosed,0
EFC (I) Limited,1471.75,10686.01,12157.76
EICHER MOTORS LIMITED,17446.14,12071.19,29517.33
EID PARRY INDIA LIMITED,259274.29,16633.73,275908.02
EIH Associated Hotels Limited,5740,8259,13999
EIH Limited,44778,88959,133737
Elecon Engineering Company Limited,2361.24,12681.26,15042.5
Electronics Mart India Limited,1496.22,25061.94,26558.16
Electrosteel Castings Limited,2136221,268604,2404825
Elgi Equipments Limited,1455.71,7340.35,8796.06
Emami Limited,1794,14548,16342
Emami Paper Mills Limited,338239,106949,445188
Embassy Developments Limited,Not disclosed,Not disclosed,0
EMS LIMITED,3124.22,44.68,3168.9
EMUDHRA LIMITED,18.75,141.1,159.85
Endurance Technologies Limited,53761,129279,183040
Engineers India Limited,279,6213,6492
Entero Healthcare Solutions Limited,1270.56,4113.21,5383.77
Entertainment Network (India) Limited,Not disclosed,Not disclosed,0
EPACK Durable Limited,1814,14726,16540
Epigral LIMITED,1242185.22,51972.81,1294158.03
EPL Limited,1601,32688,34289
Equitas Small Finance Bank Limited,1365.43,16738.3,18103.73
Eris Lifesciences Limited,342.74,1666.89,2009.63
ESAB India Limited,1185,15668,16853
ESAF Small Finance Bank Limited,46.81,9016.3,9063.11
Escorts Kubota Limited,11639.29,42962.51,54601.8
ESTER INDUSTRIES LIMITED,13561,68261,81822
Eternal Limited,57.27,90.42,147.69
ETHOS LIMITED,Not disclosed,Not disclosed,0
Eureka Forbes Limited,109,762,871
Eveready Industries India Limited,1670.16,10363.15,12033.31
Everest Industries Limited,3035.99,34386.37,37422.36
Everest Kanto Cylinder Limited,487,50878,51365
Excel Industries Limited,78907,24587,103494
Exicom Tele-Systems Limited,Not disclosed,Not disclosed,0
Exide Industries Limited,35896,350643,386539
EXPLEO SOLUTIONS LIMITED,57.4,1634.6,1692
FAIRCHEM ORGANICS LIMITED,36595,10108,46703
Faze Three Limited,6736.67,13748.5,20485.17
FDC Limited,9797.17,22392.79,32189.96
Fedbank Financial Services Limited,226.4,5938,6164.4
Federal-Mogul Goetze (India) Limited.,5490.24,142598.55,148088.79
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,234928.79,111094,346022.79
Fiem Industries Limited,2193.07,53295.93,55489
FILATEX FASHIONS LIMITED,Not disclosed,Not disclosed,0
Filatex India Limited,13667.5,67497.34,81164.84
FINE ORGANIC INDUSTRIES LIMITED,25520.72,22990.95,48511.67
Fineotex Chemical Limited,0,0,0
Fino Payments Bank Limited,0,1002161,1002161
Finolex Cables Limited,6145,55108,61253
Finolex Industries Limited,353473.99,54106.07,407580.06
Firstsource Solutions Limited,0,16867.06,16867.06
FISCHER MEDICAL VENTURES LIMITED,0.1,436.07,436.17
Five-Star Business Finance Limited,1.11,3646.79,3647.9
Flair Writing Industries Limited,209.23,19298.89,19508.12
Force Motors Ltd,9649,36887,46536
Fortis Healthcare Limited,4599.54,52228.25,56827.79
FOSECO INDIA LIMITED,2564,3348,5912
FSN E Commerce Ventures Limited,386.01,4886.55,5272.56
Fusion Finance Limited,1.27,308.18,309.45
Future Consumer Limited,0,0,0
G R Infraprojects Limited,137340.32,143330.09,280670.41
GABRIEL INDIA LIMITED,7034,15547,22581
GAIL (India) Limited,3433115,430242,3863357
GALAXY SURFACTANTS LIMITED,14649,27000,41649
Gallantt Ispat Limited,1879071,463567,2342638
GANDHAR OIL REFINERY (INDIA) LIMITED,528.09,1431.14,1959.23
GANESH BENZOPLAST LIMITED,14543.66,5561.81,20105.47
GANESH HOUSING CORPORATION LIMITED,1765.78,0,1765.78
Ganesha Ecosphere Limited,33310,39503.86,72813.86
Garden Reach Shipbuilders & Engineers Limited,0,7972,7972
Garware Hi-Tech Films Limited,51927.91,75722.26,127650.17
Garware Technical Fibres Limited,19207,10807,30014
Gateway Distriparks Limited,21995,3647.13,25642.13
GE Power India Limited,77.31,2316.44,2393.75
GE Vernova T&D India Limited,800.95,15671.46,16472.41
General Insurance Corporation of India,0,0,0
Genesys International Corporation Limited,Not disclosed,Not disclosed,0
Genus Power Infrastructures Limited,244,8078.24,8322.24
Geojit Financial Services Limited,39.48,736.63,776.11
GHCL Limited,1120911.95,11013.63,1131925.58
GIC Housing Finance Limited,0,0,0
Gillette India Limited,288,11925,12213
GLAND PHARMA LIMITED,13920,80824,94744
GlaxoSmithKline Pharmaceuticals Limited,1002.89,941911,942913.89
Glenmark Pharmaceuticals Limited,17263,76186,93449
GLOBAL HEALTH LIMITED,5352.6,45915.3,51267.9
Globus Spirits Limited,269597.02,2758.12,272355.14
Gloster Limited,5151.14,17810.82,22961.96
GM BREWERIES LIMITED,Not disclosed,Not disclosed,0
GMM Pfaudler Limited,8589.12,11822.24,20411.36
GMR Airports Limited,5673,28705,34378
GMR POWER AND URBAN INFRA LIMITED,10761931,4355,10766286
Go Digit General Insurance Limited,25.59,2536.65,2562.24
Go Fashion (India) Limited,7.41,6895.56,6902.97
GOCL Corporation Limited,0.06,0.02,0.08
GODAWARI POWER AND ISPAT LIMITED,1553940,266491,1820431
GODFREY PHILLIPS INDIA LIMITED,2460,14455,16915
GODREJ AGROVET LIMITED,2045,39435,41480
Godrej Consumer Products Limited,26047,23589,49636
Godrej Industries Limited,32796,44487,77283
Godrej Properties Limited,668.3,4433.36,5101.66
Gokaldas Exports Limited,41722,14230,55952
Gokul Agro Resources Limited,256703.41,33914.99,290618.4
Goldiam International Limited,Not disclosed,Not disclosed,0
Goodluck India Limited,39458.28,31990.92,71449.2
GOPAL SNACKS LIMITED,48.14,2999.06,3047.2
GRANULES INDIA LIMITED,57414,18853,76267
GRAPHITE INDIA LIMITED,89350,181590,270940
Grasim Industries Limited,5112096.87,1223512.84,6335609.71
Gravita India Limited,87414,12784,100198
Greaves Cotton Limited,1374.1,8932.63,10306.73
GREENLAM INDUSTRIES LIMITED,67398.9,45574.1,112973
Greenpanel Industries Limited,200909.01,92386.26,293295.27
GREENPLY INDUSTRIES LIMITED,1558,11483,13041
Grindwell Norton Limited,29153,53183,82336
GRM OVERSEAS LIMITED,Not disclosed,Not disclosed,0
